Accuracy,F1-score,AUC,model,shot,Label
0.6004975124378111,0.6119341454093196,0.667909487027134,cmrclip,1,Left ventricle dysfunction
0.6749751243781094,0.6606394013301263,0.7682085561497327,cmrclip,2,Left ventricle dysfunction
0.7388059701492538,0.716647161299727,0.8292260843731433,cmrclip,4,Left ventricle dysfunction
0.792587064676617,0.7810471117312682,0.8707476728064966,cmrclip,8,Left ventricle dysfunction
0.8335323383084575,0.8233778775019819,0.9044414735591205,cmrclip,16,Left ventricle dysfunction
0.8526368159203982,0.8418990570935369,0.918084274113686,cmrclip,32,Left ventricle dysfunction
0.5175621890547264,0.2949474297688715,0.5746944346600916,cmrclip,1,Right ventricle dysfunction
0.5570646766169155,0.29608202297311786,0.6020139133497711,cmrclip,2,Right ventricle dysfunction
0.6161691542288558,0.3262510364977451,0.6374691792884818,cmrclip,4,Right ventricle dysfunction
0.6558208955223881,0.3444699911320183,0.6685417400493132,cmrclip,8,Right ventricle dysfunction
0.6855721393034826,0.37494568673608797,0.7021028531172948,cmrclip,16,Right ventricle dysfunction
0.6927363184079602,0.3858832929015437,0.7169126452976401,cmrclip,32,Right ventricle dysfunction
0.5607462686567163,0.5230438901752134,0.6647749231444884,cmrclip,1,Left ventricle dilation
0.6500995024875622,0.5725140018394606,0.7344949494949495,cmrclip,2,Left ventricle dilation
0.7196019900497513,0.6454296045269803,0.8163087395696091,cmrclip,4,Left ventricle dilation
0.7509452736318407,0.6826414124255297,0.8395750988142292,cmrclip,8,Left ventricle dilation
0.7886069651741294,0.7198010823644428,0.8688943785682917,cmrclip,16,Left ventricle dilation
0.8101492537313433,0.7404306450312964,0.8819504830917876,cmrclip,32,Left ventricle dilation
0.5295024875621891,0.2242121647793635,0.6051997354497355,cmrclip,1,Right ventricle dilation
0.6112437810945274,0.229235274514208,0.6345502645502645,cmrclip,2,Right ventricle dilation
0.6654228855721392,0.261775908961033,0.6720820105820107,cmrclip,4,Right ventricle dilation
0.7096517412935325,0.28321741986209314,0.7015661375661375,cmrclip,8,Right ventricle dilation
0.7294029850746269,0.30431558592902697,0.7351719576719575,cmrclip,16,Right ventricle dilation
0.7580099502487563,0.3186470342826984,0.742489417989418,cmrclip,32,Right ventricle dilation
0.6205472636815921,0.4128561212441636,0.7065891104779994,cmrclip,1,Left ventricle hypertrophy
0.665273631840796,0.4532152012874237,0.7647420069642291,cmrclip,2,Left ventricle hypertrophy
0.7503980099502491,0.5491505698427439,0.8402105096549541,cmrclip,4,Left ventricle hypertrophy
0.7765671641791045,0.5879851890191192,0.8643969610636276,cmrclip,8,Left ventricle hypertrophy
0.8264179104477611,0.6493288753634558,0.8976954732510286,cmrclip,16,Left ventricle hypertrophy
0.8397512437810944,0.6734418464985342,0.9057470718581832,cmrclip,32,Left ventricle hypertrophy
0.5246268656716417,0.38047833249579116,0.5473029556650246,cmrclip,1,LGE
0.528407960199005,0.3858246538718381,0.5607475369458128,cmrclip,2,LGE
0.5499004975124379,0.409998252204084,0.584350985221675,cmrclip,4,LGE
0.570547263681592,0.428194434608281,0.608064039408867,cmrclip,8,LGE
0.6005970149253731,0.4624768896551881,0.6506268472906404,cmrclip,16,LGE
0.6271641791044776,0.4762544521477283,0.6759876847290639,cmrclip,32,LGE
0.5169651741293533,0.1613193362932045,0.5374650880388585,cmrclip,1,Aortic dilation
0.5488557213930348,0.15993456483887608,0.5463539769277473,cmrclip,2,Aortic dilation
0.5712437810945274,0.17600294818689563,0.5786065573770492,cmrclip,4,Aortic dilation
0.6090547263681592,0.18943735481793247,0.5976563448694596,cmrclip,8,Aortic dilation
0.618905472636816,0.2013074818855833,0.6236672738312083,cmrclip,16,Aortic dilation
0.653134328358209,0.20695032314796485,0.6383363691560413,cmrclip,32,Aortic dilation
